contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
kaczmarj,134,12,21,18,0.857,15.029,0.111,47.043,0.888,1.418,6.381,1.0,16.839,0.747,2.0,1.952,1.0,1.987,0.386,1.0,4.188,1.0,7.681,0.641,1.0,10.024,0.0,33.632,0.806,0.638,54.133,24.2,83.414,0.681,71.746,12.948,0.119,37.243,0.894,0.828,11.167,8.0,9.379,0.412,7.5
plasmapy-requirements-bot[bot],26,3,1,1,1.0,80.64,0.001,85.685,0.458,167.998,26.0,26.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,2016.0,2016.0,0.0,0.0,0.0,,,0.0,0.0,,76.721,0.001,85.209,0.478,167.996,8.667,9.0,3.512,0.179,3.5
accesslint[bot],192,1,30,30,1.0,8.043,0.0,24.684,0.747,3.605,6.4,3.0,9.0,0.578,7.75,1.0,1.0,0.0,0.0,0.0,3.692,2.0,6.708,0.568,2.25,4.044,0.0,11.844,0.646,0.007,25.998,14.751,41.49,0.634,22.998,,,0.0,0.0,,192.0,192.0,0.0,0.0,0.0
blueztestbot,300,6,4,2,0.5,0.732,0.0,2.133,0.821,0.275,75.0,51.5,86.799,0.53,107.0,3.0,3.0,1.826,0.292,2.5,4.412,2.0,4.591,0.516,6.0,2.057,0.0,5.89,0.777,0.614,1.179,0.214,3.08,0.762,0.821,0.662,0.0,2.212,0.834,0.155,50.0,56.0,26.796,0.258,19.75
thundernest-bot,300,1,1,1,1.0,1.039,0.201,2.128,0.706,0.561,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,310.801,310.801,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
syndace,12,2,2,2,1.0,32.651,0.337,68.358,0.814,12.691,6.0,6.0,5.657,0.333,4.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.5,2.0,38.86,0.0,77.721,0.0,38.86,67.905,0.836,116.384,0.66,100.854,67.905,0.836,116.384,0.66,100.854,6.0,6.0,5.657,0.333,4.0
naming-cop[bot],7,1,2,1,0.5,212.374,1.349,350.448,0.717,330.676,3.5,3.5,3.536,0.357,2.5,1.0,1.0,0.0,0.0,0.0,2.333,2.0,1.528,0.286,1.5,0.943,0.062,1.58,0.478,1.384,635.709,635.709,276.455,0.154,195.483,,,0.0,0.0,,7.0,7.0,0.0,0.0,0.0
bluca,188,11,9,7,0.778,0.759,0.034,2.13,0.832,0.639,20.889,2.0,45.098,0.786,2.0,2.333,1.0,2.598,0.434,1.0,3.241,2.0,5.756,0.548,1.0,1.323,0.0,5.231,0.83,0.068,1.144,0.105,2.356,0.786,1.093,0.799,0.031,2.263,0.839,0.556,17.091,11.0,15.63,0.455,15.5
dbaeumer,252,12,14,5,0.357,1.741,0.063,4.815,0.86,0.526,18.0,16.0,19.659,0.524,17.25,4.143,5.0,2.413,0.293,2.0,2.312,2.0,2.231,0.401,2.0,1.026,0.0,4.326,0.863,0.071,3.01,0.338,6.162,0.794,2.017,1.65,0.047,4.638,0.861,0.462,21.0,10.5,27.778,0.551,15.5
wpmobilebot,285,5,7,3,0.429,0.597,0.158,2.379,0.763,0.525,40.714,43.0,37.317,0.467,60.5,2.429,3.0,0.976,0.168,1.0,2.28,2.0,1.79,0.358,2.0,0.641,0.006,3.275,0.807,0.383,0.721,0.319,1.588,0.652,0.726,0.456,0.225,0.848,0.623,0.271,57.0,16.0,104.166,0.691,10.0
adamscybot,41,10,19,17,0.895,52.834,0.349,93.461,0.764,54.983,2.158,1.0,2.986,0.465,0.5,1.368,1.0,0.761,0.219,0.0,1.708,1.0,2.053,0.353,1.0,2.31,0.0,9.744,0.773,0.004,89.474,49.634,109.934,0.623,145.567,57.267,6.336,85.045,0.685,74.803,4.1,1.0,5.195,0.554,4.5
herpaderpaldent,23,9,6,2,0.333,71.967,0.106,206.484,0.85,32.991,3.833,2.0,4.535,0.457,0.75,2.333,2.0,1.366,0.238,0.0,3.286,2.0,2.289,0.335,2.5,150.822,0.046,358.96,0.803,47.296,87.922,73.238,78.417,0.451,120.956,78.689,0.079,215.866,0.837,51.847,2.556,2.0,1.878,0.338,2.0
cocoapodsbot,300,1,1,1,1.0,0.139,0.058,0.222,0.634,0.147,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,41.617,41.617,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
nblumhardt,245,15,35,12,0.343,2.761,0.088,8.616,0.884,0.683,7.0,2.0,9.573,0.617,5.5,2.486,2.0,2.092,0.383,1.0,1.725,1.0,1.137,0.301,1.0,0.421,0.0,2.131,0.867,0.013,4.354,0.279,10.89,0.846,1.218,2.88,0.084,9.235,0.889,0.809,16.333,13.0,16.893,0.522,18.5
zeebe-bors-camunda[bot],275,6,2,1,0.5,1.227,0.0,8.178,0.934,0.103,137.5,137.5,17.678,0.045,12.5,4.0,4.0,2.828,0.25,2.0,25.0,18.0,22.65,0.434,22.5,9.414,5.735,11.039,0.594,17.876,23.258,8.636,36.511,0.666,15.949,0.944,0.0,4.875,0.92,0.096,45.833,14.0,55.722,0.557,67.25
schutzbot,273,8,9,2,0.222,3.182,0.487,5.728,0.757,3.336,30.333,29.0,26.646,0.446,39.0,3.0,2.0,1.5,0.255,2.0,1.393,1.0,0.682,0.215,1.0,0.847,0.0,4.877,0.878,0.0,3.587,0.769,5.714,0.711,3.605,2.596,0.323,4.915,0.762,3.242,34.125,32.5,26.856,0.395,26.25
tevanoff,201,10,8,4,0.5,5.895,0.161,18.014,0.888,1.109,25.125,10.0,34.91,0.616,23.0,4.125,3.0,3.482,0.413,3.5,3.295,2.0,4.473,0.523,2.0,8.455,0.001,37.971,0.891,0.343,11.054,0.664,23.806,0.815,9.352,6.08,0.122,17.998,0.886,1.068,20.1,15.0,26.346,0.545,18.25
botcerts,85,6,6,2,0.333,12.627,0.002,43.574,0.912,0.183,14.167,14.0,6.432,0.218,11.5,3.0,3.0,0.0,0.0,0.0,3.864,2.0,4.051,0.474,3.25,23.039,0.007,66.05,0.83,0.703,26.371,0.333,51.547,0.802,22.229,12.837,0.005,36.237,0.868,0.318,14.167,14.0,6.047,0.214,7.25
arcus-automation,6,1,5,1,0.2,373.662,335.893,448.545,0.547,315.342,1.2,1.0,0.447,0.133,0.0,1.0,1.0,0.0,0.0,0.0,1.2,1.0,0.447,0.133,0.0,9.648,0.0,21.573,0.0,0.0,455.018,349.738,473.425,0.465,300.873,,,0.0,0.0,,6.0,6.0,0.0,0.0,0.0
mhchia,151,16,22,14,0.636,13.194,0.162,32.87,0.848,5.099,6.864,2.0,16.14,0.714,2.0,2.455,2.0,2.54,0.421,1.0,2.649,1.0,3.861,0.503,1.0,14.313,0.0,57.969,0.843,0.031,20.771,1.759,41.7,0.787,22.354,11.99,0.102,31.018,0.855,3.015,9.438,4.5,15.011,0.626,10.0
markmhendrickson,153,12,5,3,0.6,7.622,0.12,18.798,0.832,5.269,30.6,3.0,61.223,0.745,7.0,3.8,2.0,4.658,0.505,2.0,9.562,1.0,18.063,0.728,4.75,69.758,0.0,157.532,0.639,0.098,2.825,0.052,7.279,0.861,0.156,8.91,0.173,19.625,0.799,10.184,12.75,3.5,17.884,0.6,11.25
andrewhop,222,10,6,5,0.833,5.98,0.131,17.94,0.89,1.238,37.0,12.5,52.722,0.65,51.5,2.5,1.5,2.739,0.433,1.0,3.171,2.0,3.934,0.5,2.0,11.186,0.0,26.52,0.751,1.641,7.804,0.436,19.609,0.838,3.296,9.384,0.443,22.686,0.843,3.159,22.2,11.0,31.601,0.631,20.5
floryst,185,11,10,6,0.6,11.352,0.093,37.813,0.877,2.615,18.5,2.0,32.253,0.728,13.5,3.7,1.5,3.622,0.478,5.25,4.625,3.0,4.442,0.474,5.0,14.501,0.612,30.312,0.727,17.629,38.687,6.843,72.623,0.723,44.065,16.437,0.344,45.184,0.843,9.749,16.818,16.0,12.048,0.383,15.0
5imon-bot,56,1,3,1,0.333,36.69,0.311,76.716,0.813,26.075,18.667,8.0,19.348,0.405,17.0,1.0,1.0,0.0,0.0,0.0,4.308,1.0,8.43,0.629,2.0,33.451,0.0,62.265,0.519,45.408,131.922,114.406,115.178,0.456,134.859,,,0.0,0.0,,56.0,56.0,0.0,0.0,0.0
codekoala,14,2,13,12,0.923,139.133,23.781,197.69,0.672,171.349,1.077,1.0,0.277,0.066,0.0,1.077,1.0,0.277,0.066,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.133,23.781,197.69,0.672,171.349,225.449,225.449,310.375,0.487,219.468,7.0,7.0,7.071,0.357,5.0
codeforiatibot,300,4,8,1,0.125,0.596,0.767,0.43,0.393,0.775,37.5,11.0,56.743,0.627,30.5,1.25,1.0,0.707,0.175,0.0,1.351,1.0,0.681,0.208,0.75,0.308,0.0,0.616,0.242,0.0,0.496,0.291,0.413,0.453,0.696,0.244,0.036,0.33,0.644,0.303,75.0,3.5,143.334,0.718,72.5
ibm-ci-bot,134,3,7,1,0.143,1.211,0.077,5.321,0.871,0.484,19.143,7.0,25.419,0.544,12.5,1.857,2.0,0.69,0.176,0.5,2.735,1.0,5.649,0.535,1.0,0.508,0.0,2.286,0.86,0.034,2.837,0.398,8.608,0.798,2.089,1.65,0.028,8.518,0.923,0.254,44.667,33.0,49.541,0.483,48.5
bert-e,237,6,10,1,0.1,0.816,0.0,4.472,0.913,0.022,23.7,13.5,32.376,0.568,19.0,3.2,3.5,1.687,0.275,3.25,6.405,4.0,6.085,0.471,7.0,0.868,0.006,3.649,0.908,0.236,4.457,1.299,10.246,0.715,2.211,0.506,0.0,2.46,0.909,0.003,39.5,38.0,34.674,0.442,42.25
jcdickinson,59,9,24,19,0.792,33.561,9.857,62.376,0.734,29.956,2.458,1.0,4.559,0.519,1.0,1.208,1.0,0.509,0.148,0.0,1.788,1.0,1.576,0.359,1.0,16.088,0.0,55.463,0.651,0.0,44.239,18.856,74.377,0.691,45.212,28.957,14.026,42.643,0.643,35.224,6.556,2.0,11.49,0.663,2.0
oxide-renovate[bot],250,7,7,1,0.143,0.666,0.0,2.976,0.939,0.002,35.714,37.0,20.83,0.303,23.0,4.714,5.0,1.799,0.173,1.5,5.0,3.0,6.373,0.538,5.0,0.25,0.001,1.012,0.913,0.002,3.132,0.026,6.103,0.805,1.677,0.618,0.0,2.83,0.937,0.001,35.714,25.0,33.21,0.445,29.0
nrel-bot-2c,300,3,6,6,1.0,1.803,0.044,6.755,0.852,1.166,50.0,3.5,81.893,0.706,67.5,1.167,1.0,0.408,0.119,0.0,1.562,1.0,0.854,0.228,1.0,1.921,0.0,7.944,0.857,0.044,0.891,0.001,3.388,0.737,1.162,0.891,0.001,3.388,0.737,1.162,100.0,95.0,98.595,0.438,98.5
moul-bot,25,2,2,2,1.0,65.073,0.11,280.3,0.941,2.034,12.5,12.5,13.435,0.38,9.5,1.5,1.5,0.707,0.167,0.5,12.5,12.5,13.435,0.38,9.5,92.8,92.8,131.146,0.5,92.734,1376.142,1376.142,0.0,0.0,0.0,194.2,9.861,479.128,0.832,62.111,12.5,12.5,12.021,0.34,8.5
slack-oss-bot,255,5,4,1,0.25,1.417,0.0,5.318,0.927,0.001,63.75,32.5,82.605,0.556,65.25,4.0,4.0,1.155,0.125,2.0,7.727,3.0,9.142,0.516,5.0,2.047,0.001,4.416,0.811,0.025,9.139,0.135,11.947,0.658,17.903,1.582,0.0,5.61,0.92,0.014,51.0,48.0,19.786,0.168,11.0
bchrobot,19,7,11,9,0.818,101.454,18.114,189.094,0.722,102.774,1.727,1.0,1.555,0.344,0.5,1.273,1.0,0.647,0.182,0.0,1.357,1.0,0.842,0.222,0.0,1.593,0.0,5.947,0.498,0.0,138.76,88.065,212.59,0.651,128.97,100.598,0.182,218.892,0.795,97.231,2.714,2.0,1.38,0.256,1.5
phillip-ground[bot],268,5,7,1,0.143,0.697,0.0,2.369,0.855,0.016,38.286,23.0,36.202,0.45,34.5,3.286,5.0,2.138,0.298,4.0,4.702,1.0,14.525,0.732,1.0,0.772,0.0,2.362,0.648,0.0,2.538,0.202,4.085,0.723,5.614,0.216,0.0,1.153,0.935,0.0,53.6,33.0,74.053,0.567,26.0
adafruit-adabot,228,5,20,2,0.1,9.41,0.235,13.338,0.626,22.719,11.4,1.0,22.498,0.756,5.25,1.15,1.0,0.366,0.111,0.0,1.572,1.0,0.685,0.209,1.0,4.349,0.0,13.465,0.782,0.0,10.454,8.102,14.374,0.61,17.86,7.624,0.096,13.1,0.7,12.76,45.6,46.0,32.532,0.346,63.0
wojcikstefan,30,9,6,3,0.5,30.399,0.121,66.589,0.826,26.34,5.0,2.5,5.099,0.478,7.75,2.667,1.5,2.422,0.417,2.5,3.0,2.0,2.494,0.393,1.75,35.169,0.002,96.422,0.82,0.323,58.876,40.218,69.487,0.576,68.709,31.762,0.143,70.359,0.822,26.357,3.333,3.0,3.0,0.43,4.0
psalm-github-bot[bot],264,2,3,3,1.0,8.157,3.445,12.702,0.65,9.913,88.0,1.0,150.688,0.659,130.5,1.333,1.0,0.577,0.167,0.5,52.8,2.0,83.374,0.682,66.0,420.475,9.755,582.339,0.379,886.866,10.746,10.924,5.834,0.259,8.103,6.412,2.652,8.062,0.619,8.257,132.0,132.0,164.049,0.439,116.0
rhshadrach,206,14,7,5,0.714,2.266,0.109,4.14,0.774,2.485,29.429,12.0,45.412,0.664,29.5,3.571,2.0,3.047,0.423,5.0,4.478,2.0,4.496,0.487,3.75,5.7,0.689,10.776,0.657,6.657,4.498,2.725,5.044,0.571,5.801,1.743,0.114,3.832,0.809,1.119,14.714,6.0,19.381,0.603,10.5
decentraland-bot,72,2,4,1,0.25,28.809,0.839,58.481,0.808,17.603,18.0,16.5,8.832,0.229,7.5,1.5,1.5,0.577,0.167,1.0,2.667,2.0,2.353,0.358,2.0,41.737,0.292,108.373,0.816,8.652,35.328,5.899,61.183,0.744,49.899,18.55,0.348,36.978,0.793,12.031,36.0,36.0,41.012,0.403,29.0
popbot,60,8,50,47,0.94,34.082,19.924,43.469,0.624,49.102,1.2,1.0,0.756,0.153,0.0,1.08,1.0,0.444,0.072,0.0,1.132,1.0,0.708,0.113,0.0,0.003,0.0,0.017,0.496,0.0,38.667,22.418,44.365,0.58,56.546,32.898,15.072,47.647,0.659,40.555,7.5,2.0,14.531,0.692,2.5
sighrobot,10,6,1,1,1.0,197.97,0.058,363.818,0.771,198.672,10.0,10.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1781.726,1781.726,0.0,0.0,0.0,,,0.0,0.0,,222.709,0.124,380.759,0.742,285.686,1.667,1.0,1.633,0.333,0.0
sd-buildbot,236,4,27,1,0.037,5.849,0.002,15.73,0.871,1.694,8.741,6.0,8.658,0.446,8.0,2.815,3.0,0.557,0.059,0.0,2.126,2.0,1.207,0.295,2.0,2.413,0.001,12.48,0.936,0.002,10.06,0.722,20.17,0.775,8.559,5.551,0.001,15.757,0.884,1.087,59.0,61.0,45.033,0.356,32.0
tnrich,158,10,14,10,0.714,12.046,0.232,33.993,0.871,1.674,11.286,1.5,28.236,0.776,6.0,1.929,1.0,1.492,0.347,1.0,4.27,2.0,5.601,0.561,4.0,21.071,0.119,65.674,0.822,1.697,30.878,10.815,55.702,0.731,24.357,11.924,0.248,37.104,0.88,1.569,15.8,5.5,29.958,0.692,7.75
petersilva,245,14,5,2,0.4,3.642,0.301,9.917,0.827,2.249,49.0,7.0,93.584,0.725,16.0,5.0,2.0,4.796,0.416,4.0,7.903,2.0,13.275,0.668,5.0,23.523,0.274,56.712,0.766,7.214,5.316,0.5,8.973,0.738,5.792,3.689,0.296,9.369,0.819,2.203,17.5,11.0,21.604,0.55,14.75
guardrails[bot],300,1,119,46,0.387,0.534,0.158,1.213,0.722,0.629,2.521,1.0,4.661,0.502,1.0,1.0,1.0,0.0,0.0,0.0,1.357,1.0,1.02,0.234,0.0,0.018,0.0,0.128,0.852,0.0,0.708,0.34,1.368,0.646,0.663,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
bonny,190,10,10,7,0.7,10.679,0.269,26.721,0.832,7.133,19.0,1.0,35.668,0.754,11.25,2.0,1.0,2.539,0.43,0.0,9.048,1.0,16.086,0.711,5.0,56.904,0.0,180.668,0.784,15.327,41.168,25.663,54.705,0.618,45.956,15.147,0.261,33.939,0.793,13.282,19.0,5.5,36.63,0.667,11.5
jiangying000,52,10,18,16,0.889,41.235,0.34,81.376,0.789,47.757,2.889,2.0,2.298,0.402,3.0,1.833,1.0,1.15,0.301,1.75,1.733,1.0,1.23,0.319,1.0,9.302,0.0,39.453,0.831,0.047,62.895,29.993,98.877,0.706,70.559,48.111,1.369,91.166,0.779,48.99,5.2,3.0,4.94,0.477,7.5
cryptix,156,14,34,21,0.618,12.075,0.275,34.953,0.864,3.036,4.588,1.0,8.725,0.667,1.75,1.824,1.0,1.585,0.36,1.0,2.6,1.0,2.592,0.457,2.0,7.434,0.0,24.119,0.792,0.656,24.162,2.421,50.571,0.782,23.655,9.665,0.159,25.817,0.854,2.465,11.143,5.0,19.489,0.631,4.75
nsmbot,241,6,38,1,0.026,0.521,0.0,7.523,0.992,0.001,6.342,5.0,6.695,0.376,4.0,3.895,3.0,1.181,0.154,2.0,1.488,1.0,0.813,0.227,1.0,0.001,0.0,0.003,0.788,0.0,0.776,0.0,9.184,0.989,0.001,0.781,0.0,9.212,0.99,0.002,40.167,37.5,26.339,0.334,25.75
trio-bot[bot],7,1,3,1,0.333,289.974,309.186,230.166,0.402,356.898,2.333,1.0,2.309,0.381,2.0,1.0,1.0,0.0,0.0,0.0,1.75,1.0,1.5,0.321,0.75,161.487,0.0,322.973,0.0,161.487,364.632,452.46,270.742,0.317,259.838,,,0.0,0.0,,7.0,7.0,0.0,0.0,0.0
scottbot,9,3,1,1,1.0,0.033,0.002,0.063,0.631,0.029,9.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.264,0.264,0.0,0.0,0.0,,,0.0,0.0,,0.032,0.0,0.072,0.608,0.013,3.0,2.0,1.732,0.222,1.5
trendmicro-frontend-bot,12,1,1,1,1.0,187.801,144.768,187.56,0.526,310.534,12.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,2065.809,2065.809,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,12.0,12.0,0.0,0.0,0.0
kumakichi,31,10,4,2,0.5,52.007,0.051,128.669,0.863,12.553,7.75,8.0,5.852,0.363,7.75,4.0,4.5,2.16,0.25,2.0,2.214,1.5,2.007,0.389,1.0,31.543,0.0,116.881,0.854,0.019,86.046,13.112,151.075,0.738,75.648,51.131,0.035,133.631,0.875,11.749,3.1,3.5,2.079,0.345,3.0
rs,252,13,12,5,0.417,6.683,0.037,20.486,0.88,0.772,21.0,6.0,31.746,0.671,22.25,3.083,1.5,3.343,0.484,2.25,3.316,2.0,5.292,0.521,2.0,8.324,0.0,25.123,0.801,0.354,13.931,0.299,30.336,0.774,12.271,7.73,0.055,21.678,0.852,2.047,19.385,13.0,17.008,0.462,28.0
cloudkite,7,3,3,3,1.0,99.973,19.929,135.754,0.613,182.917,2.333,2.0,1.528,0.286,1.5,1.667,2.0,0.577,0.133,0.5,1.75,1.5,0.957,0.25,1.25,11.768,6.681,15.926,0.216,18.449,184.255,246.726,157.053,0.356,147.441,141.941,130.045,153.614,0.49,248.334,2.333,2.0,1.528,0.286,1.5
rick-rtt,20,6,5,4,0.8,101.276,0.818,288.149,0.847,54.52,4.0,2.0,4.243,0.48,4.0,2.0,1.0,1.414,0.32,2.0,3.333,3.0,2.422,0.367,3.5,25.026,2.045,56.392,0.702,5.534,354.817,124.415,511.945,0.608,240.556,168.434,1.786,392.122,0.787,80.032,3.333,1.5,4.761,0.533,1.0
devtools-bot,32,4,1,1,1.0,49.556,0.0,109.147,0.782,28.09,32.0,32.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,1536.232,1536.232,0.0,0.0,0.0,,,0.0,0.0,,47.261,0.0,111.115,0.804,26.766,8.0,8.5,5.831,0.328,9.5
adyenautomationbot,253,6,8,1,0.125,2.836,0.004,12.431,0.946,0.062,31.625,33.5,18.966,0.317,32.25,4.875,6.0,1.808,0.163,2.0,1.471,1.0,1.005,0.263,1.0,0.015,0.0,0.074,0.848,0.0,4.165,0.006,14.921,0.923,0.071,2.065,0.001,11.346,0.962,0.02,42.167,18.5,58.643,0.532,14.25
kebot,12,8,7,6,0.857,163.08,21.52,310.564,0.749,135.658,1.714,1.0,1.254,0.31,1.0,1.714,1.0,1.254,0.31,1.0,1.714,1.0,1.254,0.31,1.0,1.269,0.0,2.695,0.312,0.835,297.499,137.329,381.044,0.549,193.772,186.444,5.32,341.837,0.746,135.994,1.5,1.0,1.414,0.292,0.0
devexpressexamplebot,300,1,278,1,0.004,0.092,0.021,0.307,0.785,0.056,1.079,1.0,0.372,0.07,0.0,1.0,1.0,0.0,0.0,0.0,1.042,1.0,0.261,0.039,0.0,0.0,0.0,0.001,0.33,0.0,0.096,0.022,0.312,0.778,0.062,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
codebytere,182,11,11,2,0.182,11.286,0.026,135.336,0.98,0.348,16.545,4.0,40.69,0.742,4.5,3.727,3.0,2.573,0.337,2.0,5.2,3.0,5.764,0.518,3.0,55.311,0.005,307.449,0.946,4.023,3.142,0.179,7.737,0.829,1.195,13.699,0.021,150.163,0.98,0.363,16.545,10.0,14.699,0.459,19.0
dpebot,298,4,57,5,0.088,0.189,0.052,0.357,0.712,0.211,5.228,2.0,8.703,0.612,3.0,1.105,1.0,0.363,0.088,0.0,1.828,1.0,1.493,0.345,1.0,0.03,0.0,0.078,0.684,0.005,0.317,0.181,0.441,0.584,0.385,0.366,0.206,0.529,0.585,0.397,74.5,33.0,107.699,0.624,98.0
dd32,295,10,28,3,0.107,0.313,0.356,0.361,0.543,0.496,10.536,3.0,14.931,0.639,8.5,1.679,1.0,1.541,0.338,0.25,1.161,1.0,0.571,0.128,0.0,0.059,0.0,0.255,0.456,0.0,0.304,0.28,0.358,0.561,0.494,0.293,0.114,0.436,0.638,0.353,29.5,2.5,84.184,0.844,5.0
seratch,222,15,27,6,0.222,1.982,0.028,5.785,0.871,0.761,8.222,4.0,10.825,0.608,8.5,2.741,2.0,2.536,0.428,2.5,2.612,1.0,3.129,0.47,2.0,0.754,0.0,3.039,0.841,0.041,4.453,0.813,8.324,0.755,4.55,2.173,0.011,6.473,0.881,0.249,14.8,6.0,18.736,0.58,12.5
michalbundyra,141,13,33,13,0.394,14.508,0.064,48.569,0.901,2.212,4.273,2.0,3.835,0.452,4.0,2.606,2.0,1.56,0.309,1.0,1.679,1.0,1.174,0.296,1.0,3.821,0.0,19.598,0.868,0.029,20.604,0.128,59.375,0.878,4.972,13.7,0.059,46.352,0.899,2.01,10.846,11.0,7.198,0.358,10.0
aonrobot,7,3,3,1,0.333,5.28,0.033,9.775,0.755,5.468,2.333,2.0,0.577,0.095,0.5,2.333,2.0,0.577,0.095,0.5,2.333,2.0,0.577,0.095,0.5,0.022,0.018,0.024,0.476,0.024,15.806,15.806,12.056,0.27,8.525,5.28,0.033,9.775,0.755,5.468,2.333,2.0,0.577,0.095,0.5
ipfs-mgmt-read-write[bot],74,5,15,1,0.067,27.617,0.018,51.963,0.783,30.42,4.933,1.0,14.959,0.742,0.0,1.2,1.0,0.775,0.156,0.0,3.524,1.0,4.423,0.55,3.0,68.318,0.0,148.751,0.51,0.037,29.067,3.608,40.195,0.681,46.496,32.405,0.001,56.263,0.756,37.704,14.8,7.0,19.486,0.584,14.0
ndrwrbgs,6,3,5,5,1.0,189.268,207.134,149.157,0.383,93.014,1.2,1.0,0.447,0.133,0.0,1.0,1.0,0.0,0.0,0.0,1.2,1.0,0.447,0.133,0.0,0.021,0.0,0.046,0.0,0.0,236.559,209.806,121.466,0.229,75.932,179.692,207.134,52.227,0.115,46.507,2.0,2.0,1.0,0.222,1.0
angular-robot[bot],5,1,1,1,1.0,102.0,83.999,86.259,0.397,101.999,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,408.0,408.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,5.0,5.0,0.0,0.0,0.0
core23,231,12,27,7,0.259,8.954,0.032,35.222,0.925,0.156,8.556,6.0,8.163,0.484,10.0,3.185,3.0,1.495,0.259,2.0,2.044,1.0,1.729,0.377,1.0,0.164,0.0,0.933,0.861,0.018,18.222,0.075,48.884,0.864,11.359,11.146,0.03,39.457,0.908,0.265,19.25,11.0,22.868,0.557,23.5
peril-bolt[bot],6,1,1,1,1.0,247.31,73.533,381.332,0.607,79.804,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1236.548,1236.548,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,6.0,6.0,0.0,0.0,0.0
mzgoddard,59,10,5,3,0.6,27.398,0.317,95.132,0.877,17.85,11.8,3.0,20.34,0.671,5.0,2.8,2.0,2.49,0.4,2.0,7.375,5.5,7.539,0.481,6.25,83.073,28.625,103.257,0.484,166.342,132.072,23.39,250.105,0.737,99.636,36.039,0.345,117.691,0.861,23.35,5.9,2.5,6.454,0.531,10.75
staltz,277,13,13,3,0.231,1.558,0.001,7.262,0.931,0.089,21.308,4.0,31.149,0.666,32.0,4.154,3.0,2.764,0.356,5.0,5.653,4.0,6.254,0.494,5.0,4.27,0.009,14.5,0.893,0.325,4.602,0.284,9.131,0.781,3.187,1.461,0.001,6.846,0.933,0.023,21.308,6.0,39.578,0.709,14.0
cf-gitbot,139,2,41,5,0.122,0.649,0.173,1.311,0.732,0.493,3.39,2.0,3.081,0.419,2.0,1.073,1.0,0.264,0.063,0.0,1.337,1.0,0.832,0.214,0.0,0.072,0.0,0.245,0.626,0.0,0.797,0.253,1.478,0.715,0.563,0.363,0.135,0.457,0.594,0.528,69.5,69.5,88.388,0.45,62.5
