contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
dpulls[bot],277,1,57,11,0.193,7.583,1.979,15.3,0.743,6.816,4.86,2.0,8.682,0.616,2.0,1.0,1.0,0.0,0.0,0.0,1.313,1.0,0.809,0.207,0.0,1.233,0.0,8.289,0.811,0.0,8.727,2.818,16.465,0.712,7.948,,,0.0,0.0,,277.0,277.0,0.0,0.0,0.0
k8s-publishing-bot,300,4,32,1,0.031,1.296,0.001,5.591,0.915,0.001,9.375,9.0,3.9,0.208,4.0,1.969,2.0,0.177,0.015,0.0,1.299,1.0,0.711,0.196,0.0,0.16,0.0,1.487,0.858,0.0,1.524,0.001,6.188,0.918,0.002,4.724,3.518,4.855,0.506,3.042,75.0,54.5,90.697,0.555,125.5
panbingkun,239,8,9,4,0.444,1.072,0.09,2.987,0.834,0.634,26.556,4.0,47.024,0.716,3.0,2.444,2.0,1.014,0.202,1.0,2.32,2.0,1.976,0.382,2.0,1.572,0.0,4.252,0.743,0.576,0.913,0.116,2.0,0.786,0.818,0.882,0.081,2.082,0.81,0.786,29.875,20.0,32.366,0.547,47.25
webteam-app,218,4,18,1,0.056,0.987,0.196,2.272,0.759,1.08,12.111,4.5,24.134,0.682,6.0,1.111,1.0,0.471,0.094,0.0,2.096,1.0,4.818,0.464,1.0,0.527,0.0,2.533,0.657,0.149,1.548,0.727,2.26,0.632,1.451,1.41,0.068,2.724,0.789,0.975,54.5,38.0,44.792,0.356,36.5
va-bot,150,1,6,1,0.167,4.886,1.149,10.518,0.751,5.326,25.0,21.0,12.0,0.196,4.0,1.0,1.0,0.0,0.0,0.0,1.056,1.0,0.231,0.05,0.0,0.092,0.0,0.485,0.432,0.0,5.071,1.149,10.78,0.751,5.345,,,0.0,0.0,,150.0,150.0,0.0,0.0,0.0
dotnet-docker-bot,300,3,9,3,0.333,3.573,0.411,8.486,0.779,3.642,33.333,15.0,38.282,0.553,54.0,1.111,1.0,0.333,0.089,0.0,1.415,1.0,1.061,0.254,0.0,1.503,0.0,5.278,0.614,0.0,3.553,0.002,9.547,0.824,3.171,2.565,0.001,7.868,0.853,0.979,100.0,71.0,111.369,0.482,108.5
wootsbot,37,10,9,7,0.778,46.198,0.079,95.623,0.801,30.369,4.111,1.0,6.9,0.613,1.0,2.222,1.0,2.728,0.456,0.0,3.083,1.0,3.204,0.484,3.5,12.23,0.0,40.097,0.776,0.391,137.852,100.361,131.776,0.494,173.485,55.235,0.085,102.604,0.768,84.645,3.7,3.0,3.093,0.414,2.75
akurilov,300,5,14,8,0.571,4.932,0.891,10.967,0.757,4.488,21.429,1.5,64.143,0.848,2.0,1.143,1.0,0.363,0.107,0.0,4.225,1.0,6.992,0.63,2.0,13.273,0.0,31.26,0.599,7.692,7.604,0.776,18.866,0.809,3.892,1.61,0.104,3.569,0.786,1.905,60.0,3.0,128.579,0.773,2.0
mihaitodor,242,12,122,112,0.918,4.187,0.473,7.895,0.768,3.673,1.984,1.0,9.1,0.489,0.0,1.098,1.0,0.754,0.088,0.0,1.476,1.0,1.484,0.294,0.0,0.457,0.0,2.012,0.682,0.0,5.731,1.477,9.026,0.705,7.555,4.792,0.9,7.319,0.714,6.679,20.167,8.0,33.116,0.682,15.0
tie-rack,33,8,4,3,0.75,43.536,0.004,138.626,0.895,0.076,8.25,1.0,14.5,0.659,7.25,2.5,1.0,3.0,0.45,1.5,5.5,4.5,5.089,0.449,8.5,35.648,0.005,75.052,0.584,19.933,235.851,72.297,292.639,0.552,250.743,61.027,0.009,165.024,0.856,19.925,4.125,3.0,3.091,0.383,5.5
